,trade_date,symbol,prev_day_close,next_day_close,pct_over_prev_close,day_pct_chg
2267,20250110,NSE:BAJFINANCE-EQ,7291.7,7290.0,0.53,-0.02
2268,20250113,NSE:BAJFINANCE-EQ,7290.0,7150.0,0.86,-1.92
2269,20250114,NSE:BAJFINANCE-EQ,7150.0,7342.1,0.76,-2.69
2270,20250115,NSE:BAJFINANCE-EQ,7342.1,7172.95,1.35,-2.3
2271,20250116,NSE:BAJFINANCE-EQ,7172.95,7253.05,0.77,-1.12
2272,20250117,NSE:BAJFINANCE-EQ,7253.05,7185.0,1.11,-0.94
2273,20250120,NSE:BAJFINANCE-EQ,7185.0,7427.5,0.69,-3.38
2274,20250121,NSE:BAJFINANCE-EQ,7427.5,7310.0,0.74,-1.58
2275,20241217,NSE:LEMONTREE-EQ,150.0,152.67,1.94,-1.78
2276,20241218,NSE:LEMONTREE-EQ,152.67,154.4,1.56,-1.13
2277,20241219,NSE:LEMONTREE-EQ,154.4,157.64,2.64,-2.1
2278,20241220,NSE:LEMONTREE-EQ,157.64,153.28,2.16,-2.77
2279,20241223,NSE:LEMONTREE-EQ,153.28,152.98,1.31,-0.2
2280,20241224,NSE:LEMONTREE-EQ,152.98,151.25,1.61,-1.13
2281,20241226,NSE:LEMONTREE-EQ,151.25,150.0,1.66,-0.83
2282,20241227,NSE:LEMONTREE-EQ,150.0,149.69,1.29,-0.21
2283,20241230,NSE:LEMONTREE-EQ,149.69,153.1,1.9,-2.28
2284,20241231,NSE:LEMONTREE-EQ,153.1,153.0,0.46,-0.07
2285,20250101,NSE:LEMONTREE-EQ,153.0,159.0,0.54,-3.92
2286,20250102,NSE:LEMONTREE-EQ,159.0,157.8,1.86,-0.75
2287,20250103,NSE:LEMONTREE-EQ,157.8,158.9,0.87,-0.7
2288,20250106,NSE:LEMONTREE-EQ,158.9,151.0,1.5,-4.97
2289,20250107,NSE:LEMONTREE-EQ,151.0,148.91,0.72,-1.38
2290,20250108,NSE:LEMONTREE-EQ,148.91,147.99,1.09,-0.62
2291,20250109,NSE:LEMONTREE-EQ,147.99,143.39,1.63,-3.11
2292,20250110,NSE:LEMONTREE-EQ,143.39,141.04,0.87,-1.64
2293,20250113,NSE:LEMONTREE-EQ,141.04,137.16,2.71,-2.75
2294,20250114,NSE:LEMONTREE-EQ,137.16,140.69,2.06,-2.57
2295,20250115,NSE:LEMONTREE-EQ,140.69,141.39,0.85,-0.5
2296,20250116,NSE:LEMONTREE-EQ,141.39,140.55,1.48,-0.59
2297,20250117,NSE:LEMONTREE-EQ,140.55,140.1,1.78,-0.32
2298,20250120,NSE:LEMONTREE-EQ,140.1,147.0,1.72,-4.93
2299,20250121,NSE:LEMONTREE-EQ,147.0,142.06,1.33,-3.36
2300,20241217,NSE:FACT-EQ,1007.5,1018.9,2.14,-1.13
2301,20241218,NSE:FACT-EQ,1018.9,1000.0,1.22,-1.85
2302,20241219,NSE:FACT-EQ,1000.0,1006.0,1.62,-0.6
2303,20241220,NSE:FACT-EQ,1006.0,948.0,0.79,-5.77
2304,20241223,NSE:FACT-EQ,948.0,929.0,1.63,-2.0
2305,20241224,NSE:FACT-EQ,929.0,961.9,1.03,-3.54
2306,20241226,NSE:FACT-EQ,961.9,946.0,0.86,-1.65
2307,20241227,NSE:FACT-EQ,946.0,960.05,1.3,-1.49
2308,20241230,NSE:FACT-EQ,960.05,960.0,1.24,-0.01
2309,20241231,NSE:FACT-EQ,960.0,982.15,1.13,-2.31
2310,20250101,NSE:FACT-EQ,982.15,987.0,0.59,-0.49
2311,20250102,NSE:FACT-EQ,987.0,1001.6,0.82,-1.48
2312,20250103,NSE:FACT-EQ,1001.6,972.0,0.82,-2.96
2313,20250106,NSE:FACT-EQ,972.0,921.1,1.23,-5.24
2314,20250107,NSE:FACT-EQ,921.1,973.5,0.93,-5.69
2315,20250108,NSE:FACT-EQ,973.5,959.05,0.87,-1.48
2316,20250109,NSE:FACT-EQ,959.05,958.05,2.98,-0.1
2317,20250110,NSE:FACT-EQ,958.05,940.0,2.09,-1.88
2318,20250113,NSE:FACT-EQ,940.0,867.8,2.35,-7.68
2319,20250114,NSE:FACT-EQ,867.8,898.4,2.12,-3.53
2320,20250115,NSE:FACT-EQ,898.4,896.05,2.36,-0.26
2321,20250116,NSE:FACT-EQ,896.05,905.0,1.83,-1.0
2322,20250117,NSE:FACT-EQ,905.0,950.95,2.15,-5.08
2323,20250120,NSE:FACT-EQ,950.95,947.0,1.52,-0.42
2324,20250121,NSE:FACT-EQ,947.0,950.0,1.22,-0.32
2325,20241217,NSE:CLEAN-EQ,1433.0,1420.0,1.67,-0.91
2326,20241218,NSE:CLEAN-EQ,1420.0,1470.05,0.83,-3.52
2327,20241219,NSE:CLEAN-EQ,1470.05,1482.35,1.58,-0.84
2328,20241220,NSE:CLEAN-EQ,1482.35,1436.8,0.99,-3.07
2329,20241223,NSE:CLEAN-EQ,1436.8,1449.85,1.29,-0.91
2330,20241224,NSE:CLEAN-EQ,1449.85,1440.0,0.83,-0.68
2331,20241226,NSE:CLEAN-EQ,1440.0,1402.7,0.51,-2.59
2332,20241227,NSE:CLEAN-EQ,1402.7,1422.0,0.66,-1.38
2333,20241230,NSE:CLEAN-EQ,1422.0,1395.0,1.47,-1.9
2334,20241231,NSE:CLEAN-EQ,1395.0,1425.6,0.41,-2.19
2335,20250101,NSE:CLEAN-EQ,1425.6,1554.0,3.29,-9.01
2336,20250102,NSE:CLEAN-EQ,1554.0,1515.0,1.63,-2.51
2337,20250103,NSE:CLEAN-EQ,1515.0,1493.9,0.81,-1.39
2338,20250106,NSE:CLEAN-EQ,1493.9,1448.0,0.96,-3.07
